party_hp,party_extras,frac_party_hp,frac_party_extras,num_party_down,frac_party_down,success,enemies_hp,num_enemies_down,num_enemies,frac_enemies_down,CRs,totalXP,num_rounds,num_turns
-2,0,-0.047619047619047616,0.0,2.0,0.4,0,15.5,3,4,0.75,1/2_1/4_0_1/4,420.0,5,36
15,4,0.35714285714285715,0.8,0.0,0.0,1,-5.5,2,2,1.0,1_1/4,375.0,4,24
13,0,0.30952380952380953,0.0,0.0,0.0,1,-6.0,4,4,1.0,1_1/8_0_0,490.0,4,30
20,1,0.47619047619047616,0.2,0.0,0.0,1,-6.0,4,4,1.0,1_1/8_0_0,490.0,4,25
-1,0,-0.023809523809523808,0.0,2.0,0.4,0,85.5,0,5,0.0,1/4_1/8_1/2_1/4_0,470.0,4,34
10,0,0.23809523809523808,0.0,0.0,0.0,1,-6.0,4,4,1.0,0_1/2_0_1/2,440.0,5,38
-1,1,-0.023809523809523808,0.2,1.0,0.2,0,47.0,1,2,0.5,1/2_1,450.0,4,22
-2,3,-0.047619047619047616,0.6,4.0,0.8,0,113.0,0,6,0.0,1/8_0_1/8_1/2_1/4_1/8,470.0,4,31
22,1,0.5238095238095238,0.2,0.0,0.0,1,-2.5,3,3,1.0,1_1/8_0,470.0,3,18
16,0,0.38095238095238093,0.0,0.0,0.0,1,-2.0,2,2,1.0,1/2_1,450.0,4,23
-1,2,-0.023809523809523808,0.4,1.0,0.2,0,36.5,1,2,0.5,1/4_1,375.0,3,15
-2,1,-0.047619047619047616,0.2,1.0,0.2,0,9.0,0,1,0.0,2,450.0,3,14
13,1,0.30952380952380953,0.2,0.0,0.0,1,-3.0,8,8,1.0,0_1/4_1/8_1/8_0_0_1/8_1/8,450.0,4,42
-1,0,-0.023809523809523808,0.0,1.0,0.2,0,12.0,1,2,0.5,1_1/2,450.0,5,27
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,92.0,0,6,0.0,1/8_1/8_1/8_1/2_0_1/4,470.0,4,37
6,0,0.14285714285714285,0.0,0.0,0.0,1,-6.0,4,4,1.0,1/8_0_0_1,490.0,5,35
12,1,0.2857142857142857,0.2,0.0,0.0,1,-2.5,3,3,1.0,0_1/2_1/2,420.0,5,30
12,2,0.2857142857142857,0.4,0.0,0.0,1,-2.0,3,3,1.0,1/4_1/2_1/4,400.0,5,30
22,3,0.5238095238095238,0.6,0.0,0.0,1,-2.5,3,3,1.0,1_0_1/8,470.0,4,22
