party_hp,party_extras,frac_party_hp,frac_party_extras,num_party_down,frac_party_down,success,enemies_hp,num_enemies_down,num_enemies,frac_enemies_down,CRs,totalXP,num_rounds,num_turns
-4,3,-0.09523809523809523,0.6,3.0,0.6,0,43.0,1,4,0.25,1/2_1/4_1/8_0,370.0,4,27
20,2,0.47619047619047616,0.4,0.0,0.0,1,-2.5,6,6,1.0,1/8_1/8_0_1/8_1/4_1/4,370.0,5,37
23,2,0.5476190476190477,0.4,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,3,16
17,2,0.40476190476190477,0.4,0.0,0.0,1,-2.5,3,3,1.0,1/4_1/2_1/8,350.0,5,32
23,3,0.5476190476190477,0.6,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,3,17
23,3,0.5476190476190477,0.6,0.0,0.0,1,-13.0,2,2,1.0,1_1/8,337.5,3,19
23,3,0.5476190476190477,0.6,0.0,0.0,1,-2.5,2,2,1.0,1_0,315.0,3,15
17,0,0.40476190476190477,0.0,0.0,0.0,1,-2.5,6,6,1.0,0_1/8_1/8_1/4_1/4_1/8,370.0,5,41
17,1,0.40476190476190477,0.2,0.0,0.0,1,-6.0,2,2,1.0,1/2_1/2,300.0,4,21
23,4,0.5476190476190477,0.8,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,4,20
26,4,0.6190476190476191,0.8,0.0,0.0,1,-6.5,6,7,0.8571428571428571,0_0_0_0_1/4_0_0,275.0,2,17
-2,0,-0.047619047619047616,0.0,3.0,0.6,0,47.0,2,5,0.4,1/4_1/8_0_1/4_1/4,370.0,6,46
20,2,0.47619047619047616,0.4,0.0,0.0,1,-2.5,3,3,1.0,1/4_1/8_1/2,350.0,4,27
24,3,0.5714285714285714,0.6,0.0,0.0,1,-2.5,3,3,1.0,1/4_1/2_1/8,350.0,5,33
16,1,0.38095238095238093,0.2,0.0,0.0,1,-6.0,6,6,1.0,1/4_0_0_1/4_1/8_1/8,340.0,5,47
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,4.5,4,5,0.8,1/4_0_1/8_1/8_1/4,320.0,6,45
7,0,0.16666666666666666,0.0,0.0,0.0,1,-6.0,4,4,1.0,1/2_1/8_1/4_0,370.0,6,39
0,2,0.0,0.4,3.0,0.6,0,50.0,1,4,0.25,1/8_1/2_1/4_0,370.0,4,26
29,2,0.6904761904761905,0.4,0.0,0.0,1,-3.0,6,7,0.8571428571428571,0_1/8_0_1/4_0_0_0,312.5,3,20
16,0,0.38095238095238093,0.0,0.0,0.0,1,-2.5,3,3,1.0,1/4_1/8_1/2,350.0,3,23
